format,name,description,minting_tool,sensitive_content,series_number,series_total,attributes,collection.name,collection.id,collection.attributes,Hash
CHIP-0007,adewale-the-amebo,Adewale always wants to be in everyone's business.,,false,1,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,cad316c3-37f8-4b27-9f53-9d803bfcfee7,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",3fe85a477ec584a596cfacbe1b6d76fa44f0e95d95af7a15b9b14174b30db354
CHIP-0007,alli-the-queeny,Alli is an LGBT Stan.,,false,2,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,a57ecda4-a26f-4e97-a757-e1800af39aab,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",fadae2cc352f28ba0095402b75a0696a374b178ce9767f1f63f2acb0ed99af6e
CHIP-0007,aminat-the-snnobish,Aminat never really wants to talk to anyone.,,false,3,380,"[{""trait_type"":""Gender"",""value"":""female""}]",Zuri NFT Tickets for Free lunch,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",a352e5b6db6a65423c7b38cd60f7239481a7adae313015b802fee1af549e816c
CHIP-0007,aminu-the-carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",,false,4,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,4f30b751-96e7-40fe-97fd-e3d44973ff2f,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",6ca4d2bff9b94103bb79a1ddc9cd31ffb9c0941441812228db99aaa4bfe18c5f
CHIP-0007,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,,false,5,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",f93e0eec8edfdef3dd5f7dc46a75f597169e477b1e69578a27349c909579d45a
CHIP-0007,chidinma-the-model,"From Paris' runways, to London's streets, she's always in demand.",,false,6,380,"[{""trait_type"":""Gender"",""value"":""female""}]",Zuri NFT Tickets for Free lunch,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",912d559aa2adaf13572d6557c1260850b34992df4c564d068226aab0feb88529
CHIP-0007,chioma-pretty- girl,Chioma's face card is a 100.,,false,7,380,"[{""trait_type"":""Gender"",""value"":""female""}]",Zuri NFT Tickets for Free lunch,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",588792d7ca6785fcf6c6d75e469093f39001ae336eb1a9ad49f0d2ac3b578f4b
CHIP-0007,damilare-the-handsome,He's a fine boy. Everyone loves his face(and him).,,false,8,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,27eca2dc-d7df-474a-8f8f-1858152c711e,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",e9e0cdd7cd9596218405e0abdb2b8186dc2cf4f4b3ad03770722a4b73bebe56c
CHIP-0007,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,,false,9,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,f1df8270-4d60-4bd4-8959-ba7c384db5c4,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",47e81e472631d5b7e6d485b8eb33458fdf153c35b271f48d958cbefc88ab9810
CHIP-0007,emeka-the-businessman,Emeka only cares about containers. No time to waste.,,false,10,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,9b3d75da-4887-4089-aee4-50de3954fdc9,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",c19b4bd1bd82523a3fa78b5639ad3d800c19ebabda4f8ca5f7d60e0508c088f6
CHIP-0007,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,,false,11,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",3028c2b0d3a5a1d28593da83ab077d2f2b1e840252e2aafabfba14b11a707839
CHIP-0007,henry-the-sportsman,He's played every sport known to man. Even cricket.,,false,12,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",fc2aa29861315f7d9c63b2552868015c11e5da8d44cadce6e21ebed1b5d63aba
CHIP-0007,mayowa-the-smallie,Mayowa is so small but everyone loves him even still.,,false,13,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,dfbb4163-df24-4d54-b74c-6218a68df8bd,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",08e8ea6b972493be73a767333dc590a7ec80d6baf4b72f8420851f754a20344f
CHIP-0007,muyiwa-the-stylish,Muyiwa has a motto which is never to be caught unfresh.,,false,14,380,"[{""trait_type"":""Gender"",""value"":""male""}]",Zuri NFT Tickets for Free lunch,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",df902152ea0b97cb464605b07320f2377f31ee9e019ae37791d316a6e82bcf0a
CHIP-0007,nina-paper-chaser,Nina na Igbo girl wey like money. Finish.,,false,15,380,"[{""trait_type"":""Gender"",""value"":""female""}]",Zuri NFT Tickets for Free lunch,59524227-dc52-407c-8cca-e9e8c5fb3018,"[{""type"":""description"",""value"":""Rewards for accomplishments during HNGi9""}]",36895e1a23465556439806f95044b3a10885467786cb9535b905517e32140436
