Series Number,File Name,Description,Gender,UUID,Hash.
181,beauty-of-town,She is the most beautiful in the neighbourhood,Female,7241a1be-59da-11ed-9b6a-0242ac120002,3F0A98F7493F2D5CA39C5DD74C9126C9C34342FF1A8762A20F575571B4FEDF20
182,lola-babe,Looking hot as always,Female,7241a664-59da-11ed-9b6a-0242ac120002,FEE235B7CEBE2F12B197FE70DA29A65DC4AAC2BEC0226663B7DB2FAF8F694B7A
183,cardy_h-sharp-babe,Cardy is the sharpest amongst her friends,Female,7241a7c2-59da-11ed-9b6a-0242ac120002,E164E277A99CF5E8A74A6FA76DB32C2CB7F986A8584729AC09E05D444CDF0FAE
184,bella-the-baller,Baller for Life,Female,7241ad26-59da-11ed-9b6a-0242ac120002,A919AAB2E549CBE12DEAC3A69588C640770B277C39A69FAA2F6EA0B474725279
185,milly-of-roses,Her lips so red like a rose,Female,7241af92-59da-11ed-9b6a-0242ac120002,5D03BEA31C94258E367313B2D1368044233BBF5D709CACB75B7DDB9B2B8F7B9C
186,Preciousjada-the-viper,Her words stings likes a viper,Female,7241b12c-59da-11ed-9b6a-0242ac120002,179A9FEC6F52C5F286F06136E7F5BC078702A843365B3B0D2E9736E4DA4DCA88
187,lolly-of-NY ,Most popular in NY,Female,7241b2ee-59da-11ed-9b6a-0242ac120002,BB42E9A5369E26697E8801AA63D1D378AEC297C90FC676FEB953FEB9245AEA8E
188,Disy-the-dancer,Dances her way into any show,Female,7241b4c4-59da-11ed-9b6a-0242ac120002,7055BBCB347F736F095666D90F2C3B290960D2CB927983AC311B05F88BC0F8EE
189,Jenny-the-great,The greatest of our time,Female,7241b852-59da-11ed-9b6a-0242ac120002,1569A8271BB6BC10536AAE3438F04B3D17665EB0C6332871E34C2FFD4DF5C91B
190,lolly-the-pop,Seeing lolly makes me pop,Female,7241ba00-59da-11ed-9b6a-0242ac120002,
191,disy-the-queen,The queen in her own space,Female,7241bda2-59da-11ed-9b6a-0242ac120002,30F4EF1F351BEB3FA480D343804587235229ED8CED89EB59AC22D39E5D3658AA
192,JennyP-of-Lagos,A well known celebrity in Lagos,Female,7241bf1e-59da-11ed-9b6a-0242ac120002,FEE235B7CEBE2F12B197FE70DA29A65DC4AAC2BEC0226663B7DB2FAF8F694B7A
193,Jada-of-life,Her business signature,Female,7241c202-59da-11ed-9b6a-0242ac120002,4C80B1A801A0E423B7528B81D1D129F3D0DD7BDC0FC1DDB8031754D957A664B9
194,Sandy-the-rapper,She just loves to rap,Female,7241c342-59da-11ed-9b6a-0242ac120002,4FC0F2B140557D79CE52E9D5BEDA1A1FD5ABC960E2ACAE83D88CB066A9AE5862
195,Dahila-the-genius,The genius in the family,Female,7241c4fa-59da-11ed-9b6a-0242ac120002,00CEA229B666B0C8271B45152E189D43ADFD78A4865216471C727CF31106AA92
196,Rosemary-of-Yaba,She has a cloth store in Yaba,Female,7241c61c-59da-11ed-9b6a-0242ac120002,3F0A98F7493F2D5CA39C5DD74C9126C9C34342FF1A8762A20F575571B4FEDF20
197,Jennifer-of -island,She goes on vacation to the island,Female,7241ca18-59da-11ed-9b6a-0242ac120002,8BA94D495CAB8F3FF8943FF8CE8DFC9454BDA8AF31D1C9602904715275079B24
198,Opeyemi-of-lekki,Opeyemi lives in lekki,Female,7241c8e2-59da-11ed-9b6a-0242ac120002,A5CA78F207366848F967CA7EC03F217D1C8F3C6197B72AC2BA3C59E065D0E2D3
199,Vicky-the-artist,Brings life into what she draws,Female,7241cb3a-59da-11ed-9b6a-0242ac120002,AABDDD5A4A78534A550B6440BDBDCD92B2B03AE44B8C23E36A0E4F4506AE5E8F
200,Afrogirl-sailor,She loves to sail the ocean,Female,7241cc66-59da-11ed-9b6a-0242ac120002,0DD8F72F542FB2CEED929E53E1480D3FB27FFF0E341AC66F77889EAA76F406C5
