Series Number,Current Name,Name,The,Descriptor,New Name,Description
201,zurinft_mndr10c1-green-man,,,,-,
202,zurinft_mndr10c2-the-mask,,,,-,
203,zurinft_mndr10c7-ahmed-tinubu,,,,-,
204,zurinft_mndr10c3-incredible-hulk,,,,-,
205,zurinft_mndr10c8-awarun-the-smoker,,,,-,
206,zurinft_mndr10c4-osofia-in-london,,,,-,
207,zurinft_mndr10c5-sango.png,,,,-,
208,zurinft_mndr10c6-samuel-the-designer,,,,-,
209,zurinft_mndr10c8-phyno-the-musician,,,,-,
210,zurinft_zcf1r1c4-buffy-the-vampire-slayer,,,,-,
211,zurinft_zcfr10c5-kehinde-from-ikorudu,,,,-,
212,zurinft_mndr1c7-nicky-fury,,,,-,
213,zurinft_mndr10c9-falz-the-badguy,,,,-,
214,zurinft_zcmr210c10-black-adam,,,,-,
215,zurinft_f124r3c1-saro-wife,,,,-,
216,zurinft_mndr1c3-scarlet-witch,,,,-,
217,zurinft_f124r3c4-yaro-the-badguy,yaro,the ,badguy,yaro-the -badguy,
218,zurinft_f124r3c2-princess-anikulapo,,,,-,
219,zurinft_mndr1c4-gummy-girl,gummy,the ,girl,gummy-the -girl,
220,zurinft_mndr1c6-yetunde-hairdresser,yetunde,the ,hairdresser,yetunde-the -hairdresser,
