Series Number,Filename,Description,Gender,UUID,Hash
361,osas-the-ceo,"Meet Osas, a Gen-Z CEO with the British accent.",Female,b10f7e42-4778-49db-820b-dabbad75504a,
362,nneka-the-rainbow babe,"Nneka, the happy rainbow babe with the vibes",Female,e7e20ab8-03e0-4e0a-80aa-6e193f84426e,
363,temitope-the-spoilt girl,"Temitope, our favourite Daddy's girl.",Female,10cbcbcb-754e-4175-b85d-d0c7eafa16a2,
364,bekeh-the-party animal,"Baby Bekeh, Life of the party that goes home with your charger.",Female,f0558235-3043-46e5-b26c-5bde83cc67fb,
365,nana-the-tech lady,"Nana, the tech madam that doubles as Kumasi Adele in her bathroom every morning.",Female,e0858913-7050-4c4a-a2a0-442a88463334,
366,rofiat-the-marketer,"Rofiat, the distressed marketing intern.",Female,1e4d9bda-f6f9-4e7a-9381-bee4b074b56d,
367,zarifa-the-righteous,"Meet Zarifa, a proper baddie for Christ.",Female,c6955d16-c343-46bc-9bed-c069ea8cc65a,
368,modinat-the-troublesome,"Modinat, The queen of Gbas Gbos.",Female,49eb44e8-1117-463b-b7b3-1bcea4258362,
369,amaka-our-mummy-g.o,"Here's Amaka, our one and only mummy G.O who's been to hell and back.",Female,853edc40-0f9d-40c5-ba78-46067dfd7f68,
370,mawusi-the-patient,"Meet Mawusi, the sweet sister waiting for her Canadian bobo.",Female,ca9ddc30-141a-493d-851b-71d34f599641,
371,nesta-the-difficult,"Meet Nesta,the National Chairlady, Shege Administrators of Nigeria. (SAN)",Female,fc3b7ca7-efdb-45b2-b7c9-e69107484a43,
372,adaora-the-choir mistress,"Adaora, our able choir mistress that will take your boyfriend for vanishing.",Female,df944505-da1a-424e-88aa-b9d365bd2775,
373,busayo-the-husband snatcher,"Miss Busayo, Can transplant your husband with the blink of her eyes",Female,73c8d935-4a71-41d2-a1de-066ae8d548e6,
374,wangari-the-waitress,"Wangari, the aspiring musician that doubles as a waitress.",Female,4bd7a15b-cc66-4e2d-8fdb-d550f2dd645c,
375,charlene-the-shy-lady,"Meet Charlene, the shy sweetheart next door.",Female,36539b84-ada0-43cb-92d4-30596e07a39a,
376,addae-the-unretired,"Mummy Addae, the hot grandma that has refused to retire.",Female,ced7b53c-73de-4fc7-a652-2b17ebfe68c9,
377,abena-the-slay queen,"Abena, the gang's slay queen",Female,1e4728e1-3e45-4972-9755-4a38e784ff91,
378,gasira-the-violence mama,"Sister Gasira, wipes people Oraimo cord for a living.",Female,ea72337f-658f-4198-9ad6-39bc6212c20d,
379,salamatou-the-exchange student,"Salamatou, An Ivorian exchange student who's in love with Amala.",Female,0e216fd1-d96a-4e3c-a59b-c807f772c5b3,
380,nguyen-the-foreigner,"Meet Nguyen, the Asian Aunt that's addicted to Waakaye.",Female,0381301b-b5a3-42c1-9f73-2c43c0b8493f,
